Timestamp,Motion,Device
1610172121,0,c0:98:e5:42:01:03
1610174287,1,c0:98:e5:42:01:03
1610174295,0,c0:98:e5:42:01:03
1610174299,1,c0:98:e5:42:01:03
1610174304,0,c0:98:e5:42:01:03
1610174325,1,c0:98:e5:42:01:03
1610174355,0,c0:98:e5:42:01:03
1610174357,1,c0:98:e5:42:01:03
1610174385,0,c0:98:e5:42:01:03
1610174537,1,c0:98:e5:42:01:03
1610174558,0,c0:98:e5:42:01:03
1610174562,1,c0:98:e5:42:01:03
1610174590,0,c0:98:e5:42:01:03
1610174592,1,c0:98:e5:42:01:03
1610174607,0,c0:98:e5:42:01:03
1610174628,1,c0:98:e5:42:01:03
1610174642,0,c0:98:e5:42:01:03
1610174650,1,c0:98:e5:42:01:03
1610174665,0,c0:98:e5:42:01:03
1610174666,1,c0:98:e5:42:01:03
1610174670,0,c0:98:e5:42:01:03
1610174671,1,c0:98:e5:42:01:03
1610174703,0,c0:98:e5:42:01:03
1610174733,1,c0:98:e5:42:01:03
1610174738,0,c0:98:e5:42:01:03
1610174745,1,c0:98:e5:42:01:03
1610174749,0,c0:98:e5:42:01:03
1610174764,1,c0:98:e5:42:01:03
1610174766,0,c0:98:e5:42:01:03
1610174791,1,c0:98:e5:42:01:03
1610174794,0,c0:98:e5:42:01:03
1610174883,1,c0:98:e5:42:01:03
1610174887,0,c0:98:e5:42:01:03
1610174909,1,c0:98:e5:42:01:03
1610174918,0,c0:98:e5:42:01:03
1610174928,1,c0:98:e5:42:01:03
1610174931,0,c0:98:e5:42:01:03
1610174999,1,c0:98:e5:42:01:03
1610175003,0,c0:98:e5:42:01:03
1610175044,1,c0:98:e5:42:01:03
1610175047,0,c0:98:e5:42:01:03
1610175049,1,c0:98:e5:42:01:03
1610175054,0,c0:98:e5:42:01:03
1610175072,1,c0:98:e5:42:01:03
1610175074,0,c0:98:e5:42:01:03
1610175089,1,c0:98:e5:42:01:03
1610175092,0,c0:98:e5:42:01:03
1610175116,1,c0:98:e5:42:01:03
1610175120,0,c0:98:e5:42:01:03
1610175176,1,c0:98:e5:42:01:03
1610175179,0,c0:98:e5:42:01:03
1610175307,1,c0:98:e5:42:01:03
1610175311,0,c0:98:e5:42:01:03
1610175346,1,c0:98:e5:42:01:03
1610175349,0,c0:98:e5:42:01:03
1610175363,1,c0:98:e5:42:01:03
1610175367,0,c0:98:e5:42:01:03
1610175377,1,c0:98:e5:42:01:03
1610175382,0,c0:98:e5:42:01:03
1610175496,1,c0:98:e5:42:01:03
1610175500,0,c0:98:e5:42:01:03
1610175502,1,c0:98:e5:42:01:03
1610175514,0,c0:98:e5:42:01:03
1610175516,1,c0:98:e5:42:01:03
1610175522,0,c0:98:e5:42:01:03
1610175526,1,c0:98:e5:42:01:03
1610175555,0,c0:98:e5:42:01:03
1610175559,1,c0:98:e5:42:01:03
1610175568,0,c0:98:e5:42:01:03
1610175579,1,c0:98:e5:42:01:03
1610175585,0,c0:98:e5:42:01:03
1610175618,1,c0:98:e5:42:01:03
1610175631,0,c0:98:e5:42:01:03
1610175643,1,c0:98:e5:42:01:03
1610175646,0,c0:98:e5:42:01:03
1610175647,1,c0:98:e5:42:01:03
1610175650,0,c0:98:e5:42:01:03
1610175655,1,c0:98:e5:42:01:03
1610175659,0,c0:98:e5:42:01:03
1610175668,1,c0:98:e5:42:01:03
1610175672,0,c0:98:e5:42:01:03
1610175674,1,c0:98:e5:42:01:03
1610175678,0,c0:98:e5:42:01:03
1610175681,1,c0:98:e5:42:01:03
1610175691,0,c0:98:e5:42:01:03
1610175699,1,c0:98:e5:42:01:03
1610175714,0,c0:98:e5:42:01:03
1610175731,1,c0:98:e5:42:01:03
1610175741,0,c0:98:e5:42:01:03
1610175744,1,c0:98:e5:42:01:03
1610175759,0,c0:98:e5:42:01:03
1610175764,1,c0:98:e5:42:01:03
1610175769,0,c0:98:e5:42:01:03
1610175788,1,c0:98:e5:42:01:03
1610175792,1,c0:98:e5:42:01:03
1610175792,0,c0:98:e5:42:01:03
1610175799,0,c0:98:e5:42:01:03
1610175816,1,c0:98:e5:42:01:03
1610175820,0,c0:98:e5:42:01:03
1610175827,1,c0:98:e5:42:01:03
1610175836,0,c0:98:e5:42:01:03
1610175844,1,c0:98:e5:42:01:03
1610175849,0,c0:98:e5:42:01:03
1610175868,1,c0:98:e5:42:01:03
1610175875,0,c0:98:e5:42:01:03
1610175880,1,c0:98:e5:42:01:03
1610175887,0,c0:98:e5:42:01:03
1610175918,1,c0:98:e5:42:01:03
1610175927,0,c0:98:e5:42:01:03
1610175939,1,c0:98:e5:42:01:03
1610175942,0,c0:98:e5:42:01:03
1610175954,1,c0:98:e5:42:01:03
1610175960,0,c0:98:e5:42:01:03
1610175962,1,c0:98:e5:42:01:03
1610175970,0,c0:98:e5:42:01:03
1610175974,1,c0:98:e5:42:01:03
1610175977,0,c0:98:e5:42:01:03
1610176019,1,c0:98:e5:42:01:03
1610176023,0,c0:98:e5:42:01:03
1610176023,1,c0:98:e5:42:01:03
1610176029,0,c0:98:e5:42:01:03
1610176029,1,c0:98:e5:42:01:03
1610176037,0,c0:98:e5:42:01:03
1610176046,1,c0:98:e5:42:01:03
1610176052,0,c0:98:e5:42:01:03
1610176072,1,c0:98:e5:42:01:03
1610176076,0,c0:98:e5:42:01:03
1610176077,1,c0:98:e5:42:01:03
1610176083,0,c0:98:e5:42:01:03
1610176087,1,c0:98:e5:42:01:03
1610176094,0,c0:98:e5:42:01:03
1610176106,1,c0:98:e5:42:01:03
1610176111,0,c0:98:e5:42:01:03
1610176122,1,c0:98:e5:42:01:03
1610176127,0,c0:98:e5:42:01:03
1610176133,1,c0:98:e5:42:01:03
1610176137,0,c0:98:e5:42:01:03
1610176154,1,c0:98:e5:42:01:03
1610176157,0,c0:98:e5:42:01:03
1610176175,1,c0:98:e5:42:01:03
1610176178,0,c0:98:e5:42:01:03
1610176186,1,c0:98:e5:42:01:03
1610176193,0,c0:98:e5:42:01:03
1610176199,1,c0:98:e5:42:01:03
1610176205,0,c0:98:e5:42:01:03
1610176217,1,c0:98:e5:42:01:03
1610176220,0,c0:98:e5:42:01:03
1610176222,1,c0:98:e5:42:01:03
1610176225,0,c0:98:e5:42:01:03
1610176226,1,c0:98:e5:42:01:03
1610176230,0,c0:98:e5:42:01:03
1610176238,1,c0:98:e5:42:01:03
1610176242,0,c0:98:e5:42:01:03
1610176316,1,c0:98:e5:42:01:03
1610176320,0,c0:98:e5:42:01:03
1610176383,1,c0:98:e5:42:01:03
1610176390,0,c0:98:e5:42:01:03
1610176395,1,c0:98:e5:42:01:03
1610176401,0,c0:98:e5:42:01:03
1610176407,1,c0:98:e5:42:01:03
1610176416,0,c0:98:e5:42:01:03
1610176417,1,c0:98:e5:42:01:03
1610176421,0,c0:98:e5:42:01:03
1610176456,1,c0:98:e5:42:01:03
1610176459,0,c0:98:e5:42:01:03
1610176580,1,c0:98:e5:42:01:03
1610176584,0,c0:98:e5:42:01:03
1610176585,1,c0:98:e5:42:01:03
1610176589,0,c0:98:e5:42:01:03
1610176593,1,c0:98:e5:42:01:03
1610176598,0,c0:98:e5:42:01:03
1610176608,1,c0:98:e5:42:01:03
1610176624,0,c0:98:e5:42:01:03
1610176639,1,c0:98:e5:42:01:03
1610176644,0,c0:98:e5:42:01:03
1610178237,1,c0:98:e5:42:01:03
1610178241,0,c0:98:e5:42:01:03
1610178481,1,c0:98:e5:42:01:03
1610178489,0,c0:98:e5:42:01:03
1610178495,1,c0:98:e5:42:01:03
1610178499,0,c0:98:e5:42:01:03
1610178531,1,c0:98:e5:42:01:03
1610178534,0,c0:98:e5:42:01:03
1610178537,1,c0:98:e5:42:01:03
1610178542,0,c0:98:e5:42:01:03
1610178544,1,c0:98:e5:42:01:03
1610178547,0,c0:98:e5:42:01:03
1610178548,1,c0:98:e5:42:01:03
1610178553,0,c0:98:e5:42:01:03
1610178557,1,c0:98:e5:42:01:03
1610178569,0,c0:98:e5:42:01:03
1610178573,1,c0:98:e5:42:01:03
1610178587,0,c0:98:e5:42:01:03
1610178598,1,c0:98:e5:42:01:03
1610178616,0,c0:98:e5:42:01:03
1610178659,1,c0:98:e5:42:01:03
1610178665,0,c0:98:e5:42:01:03
1610178676,1,c0:98:e5:42:01:03
1610178686,0,c0:98:e5:42:01:03
1610178688,1,c0:98:e5:42:01:03
1610178696,0,c0:98:e5:42:01:03
1610178697,1,c0:98:e5:42:01:03
1610178704,0,c0:98:e5:42:01:03
1610178708,1,c0:98:e5:42:01:03
1610178711,0,c0:98:e5:42:01:03
1610178722,1,c0:98:e5:42:01:03
1610178731,0,c0:98:e5:42:01:03
1610178731,1,c0:98:e5:42:01:03
1610178737,0,c0:98:e5:42:01:03
1610178739,1,c0:98:e5:42:01:03
1610178747,0,c0:98:e5:42:01:03
1610178749,1,c0:98:e5:42:01:03
1610178754,0,c0:98:e5:42:01:03
1610178772,1,c0:98:e5:42:01:03
1610178785,0,c0:98:e5:42:01:03
1610178788,1,c0:98:e5:42:01:03
1610178791,0,c0:98:e5:42:01:03
1610178794,1,c0:98:e5:42:01:03
1610178799,0,c0:98:e5:42:01:03
1610178828,1,c0:98:e5:42:01:03
1610178838,0,c0:98:e5:42:01:03
1610178845,1,c0:98:e5:42:01:03
1610178849,0,c0:98:e5:42:01:03
1610178853,1,c0:98:e5:42:01:03
1610178857,0,c0:98:e5:42:01:03
1610178861,1,c0:98:e5:42:01:03
1610178868,0,c0:98:e5:42:01:03
1610178872,1,c0:98:e5:42:01:03
1610178876,0,c0:98:e5:42:01:03
1610178882,1,c0:98:e5:42:01:03
1610178889,0,c0:98:e5:42:01:03
1610178897,1,c0:98:e5:42:01:03
1610178902,0,c0:98:e5:42:01:03
1610178903,1,c0:98:e5:42:01:03
1610178911,0,c0:98:e5:42:01:03
1610178932,1,c0:98:e5:42:01:03
1610178940,0,c0:98:e5:42:01:03
1610178940,1,c0:98:e5:42:01:03
1610178944,0,c0:98:e5:42:01:03
1610178948,1,c0:98:e5:42:01:03
1610178952,0,c0:98:e5:42:01:03
1610178975,1,c0:98:e5:42:01:03
1610178987,0,c0:98:e5:42:01:03
1610178991,1,c0:98:e5:42:01:03
1610178998,0,c0:98:e5:42:01:03
1610179010,1,c0:98:e5:42:01:03
1610179012,0,c0:98:e5:42:01:03
1610179013,1,c0:98:e5:42:01:03
1610179019,0,c0:98:e5:42:01:03
1610179023,1,c0:98:e5:42:01:03
1610179033,0,c0:98:e5:42:01:03
1610179036,1,c0:98:e5:42:01:03
1610179042,0,c0:98:e5:42:01:03
1610179044,1,c0:98:e5:42:01:03
1610179047,0,c0:98:e5:42:01:03
1610179050,1,c0:98:e5:42:01:03
1610179054,0,c0:98:e5:42:01:03
1610179082,1,c0:98:e5:42:01:03
1610179086,0,c0:98:e5:42:01:03
1610179092,1,c0:98:e5:42:01:03
1610179101,0,c0:98:e5:42:01:03
1610179142,1,c0:98:e5:42:01:03
1610179146,0,c0:98:e5:42:01:03
1610179147,1,c0:98:e5:42:01:03
1610179151,0,c0:98:e5:42:01:03
1610179152,1,c0:98:e5:42:01:03
1610179156,0,c0:98:e5:42:01:03
1610179161,1,c0:98:e5:42:01:03
1610179166,0,c0:98:e5:42:01:03
1610179195,1,c0:98:e5:42:01:03
1610179197,0,c0:98:e5:42:01:03
1610179198,1,c0:98:e5:42:01:03
1610179207,0,c0:98:e5:42:01:03
1610179209,1,c0:98:e5:42:01:03
1610179213,0,c0:98:e5:42:01:03
1610179217,1,c0:98:e5:42:01:03
1610179219,0,c0:98:e5:42:01:03
1610179361,1,c0:98:e5:42:01:03
1610179371,0,c0:98:e5:42:01:03
1610179396,1,c0:98:e5:42:01:03
1610179404,0,c0:98:e5:42:01:03
1610179657,1,c0:98:e5:42:01:03
1610179674,0,c0:98:e5:42:01:03
1610179718,1,c0:98:e5:42:01:03
1610179722,0,c0:98:e5:42:01:03
1610179728,1,c0:98:e5:42:01:03
1610179732,0,c0:98:e5:42:01:03
1610179741,1,c0:98:e5:42:01:03
1610179745,0,c0:98:e5:42:01:03
1610179746,1,c0:98:e5:42:01:03
1610179751,0,c0:98:e5:42:01:03
1610179778,1,c0:98:e5:42:01:03
1610179797,0,c0:98:e5:42:01:03
1610179798,1,c0:98:e5:42:01:03
1610179804,0,c0:98:e5:42:01:03
1610179805,1,c0:98:e5:42:01:03
1610179815,0,c0:98:e5:42:01:03
1610179824,1,c0:98:e5:42:01:03
1610179830,0,c0:98:e5:42:01:03
1610179872,1,c0:98:e5:42:01:03
1610179876,0,c0:98:e5:42:01:03
1610179890,1,c0:98:e5:42:01:03
1610179904,0,c0:98:e5:42:01:03
1610179908,1,c0:98:e5:42:01:03
1610179912,0,c0:98:e5:42:01:03
1610179927,1,c0:98:e5:42:01:03
1610179930,0,c0:98:e5:42:01:03
1610179931,1,c0:98:e5:42:01:03
1610179937,0,c0:98:e5:42:01:03
1610179940,1,c0:98:e5:42:01:03
1610179947,0,c0:98:e5:42:01:03
1610179951,1,c0:98:e5:42:01:03
1610179960,0,c0:98:e5:42:01:03
1610179966,1,c0:98:e5:42:01:03
1610179971,0,c0:98:e5:42:01:03
1610180032,1,c0:98:e5:42:01:03
1610180038,0,c0:98:e5:42:01:03
1610180044,1,c0:98:e5:42:01:03
1610180052,0,c0:98:e5:42:01:03
1610180058,1,c0:98:e5:42:01:03
1610180071,0,c0:98:e5:42:01:03
1610180154,1,c0:98:e5:42:01:03
1610180157,0,c0:98:e5:42:01:03
1610180158,1,c0:98:e5:42:01:03
1610180173,0,c0:98:e5:42:01:03
1610180177,1,c0:98:e5:42:01:03
1610180191,0,c0:98:e5:42:01:03
1610180226,1,c0:98:e5:42:01:03
